1;Afghanistan;Islamic Emirate of Afghanistan;Kabul
2;Albania;Republic of Albania;Tirana
3;Algeria;People's Democratic Republic of Algeria;Algiers
4;Andorra;Principality of Andorra;Andorra la Vella
5;Angola;Republic of Angola;Luanda
6;Antigua and Barbuda;Antigua and Barbuda;St. John's
7;Argentina;Argentine Republic;Buenos Aires
8;Armenia;Republic of Armenia;Yerevan
9;Australia;Commonwealth of Australia;Canberra
10;Austria;Republic of Austria;Vienna
11;Azerbaijan;Republic of Azerbaijan;Baku
12;Bahamas;Commonwealth of The Bahamas;Nassau
13;Bahrain;Kingdom of Bahrain;Manama
14;Bangladesh;People's Republic of Bangladesh;Dhaka
15;Barbados;Barbados;Bridgetown
16;Belarus;Republic of Belarus;Minsk
17;Belgium;Kingdom of Belgium;Brussels
18;Belize;Belize;Belmopan
19;Benin;Republic of Benin;Porto-Novo
20;Bhutan;Kingdom of Bhutan;Thimphu
21;Bolivia (Plurinational State of);Plurinational State of Bolivia;La Paz
22;Bosnia and Herzegovina;Bosnia and Herzegovina;Sarajevo
23;Botswana;Republic of Botswana;Gaborone
24;Brazil;Federative Republic of Brazil;Brasília
25;Brunei Darussalam;Brunei Darussalam;Bandar Seri Begawan
26;Bulgaria;Republic of Bulgaria;Sofia
27;Burkina Faso;Burkina Faso;Ouagadougou
28;Burundi;Republic of Burundi;Gitega
29;Cabo Verde;Republic of Cabo Verde;Praia
30;Cambodia;Kingdom of Cambodia;Phnom Penh
31;Cameroon;Republic of Cameroon;Yaoundé
32;Canada;Canada;Ottawa
33;Central African Republic;Central African Republic;Bangui
34;Chad;Republic of Chad;N'Djamena
35;Chile;Republic of Chile;Santiago
36;China;People's Republic of China;Beijing
37;Colombia;Republic of Colombia;Bogotá
38;Comoros;Union of the Comoros;Moroni
39;Congo;Republic of the Congo;Brazzaville
40;Costa Rica;Republic of Costa Rica;San José
41;Côte D'Ivoire;Republic of Côte d'Ivoire;Yamoussoukro
42;Croatia;Republic of Croatia;Zagreb
43;Cuba;Republic of Cuba;Havana
44;Cyprus;Republic of Cyprus;Nicosia
45;Czechia;Czech Republic;Prague
46;Democratic People's Republic of Korea;Democratic People's Republic of Korea;Pyongyang
47;Democratic Republic of the Congo;Democratic Republic of the Congo;Kinshasa
48;Denmark;Denmark;Copenhagen
49;Djibouti;Republic of Djibouti;Djibouti
50;Dominica;Commonwealth of Dominica;Roseau
51;Dominican Republic;Dominican Republic;Santo Domingo
52;Ecuador;Republic of Ecuador;Quito
53;Egypt;Arab Republic of Egypt;Cairo
54;El Salvador;Republic of El Salvador;San Salvador
55;Equatorial Guinea;Republic of Equatorial Guinea;Malabo
56;Eritrea;State of Eritrea;Asmara
57;Estonia;Republic of Estonia;Tallinn
58;Eswatini;Kingdom of Eswatini;Lobamba (legislative)
59;Ethiopia;Federal Democratic Republic of Ethiopia;Addis Ababa
60;Fiji;Republic of Fiji;Suva
61;Finland;Republic of Finland;Helsinki
62;France;French Republic;Paris
63;Gabon;Gabonese Republic;Libreville
64;Gambia (Republic of The);Republic of The Gambia;Banjul
65;Georgia;Georgia;Tbilisi
66;Germany;Federal Republic of Germany;Berlin
67;Ghana;Republic of Ghana;Accra
68;Greece;Hellenic Republic;Athens
69;Grenada;Grenada;St. George's
70;Guatemala;Republic of Guatemala;Guatemala City
71;Guinea;Republic of Guinea;Conakry
72;Guinea Bissau;Republic of Guinea-Bissau;Bissau
73;Guyana;Co-operative Republic of Guyana;Georgetown
74;Haiti;Republic of Haiti;Port-au-Prince
75;Honduras;Republic of Honduras;Tegucigalpa
76;Hungary;Hungary;Budapest
77;Iceland;Iceland;Reykjavík
78;India;Republic of India;Sarnath Lion Capital
79;Indonesia;Republic of Indonesia;Jakarta
80;Iran (Islamic Republic of);Islamic Republic of Iran;Tehran
81;Iraq;Republic of Iraq;Baghdad
82;Ireland;Ireland;Dublin
83;Israel;State of Israel;Jerusalem
84;Italy;Italian Republic;Rome
85;Jamaica;Jamaica;Kingston
86;Japan;Japan;Tokyo
87;Jordan;Hashemite Kingdom of Jordan;Amman
88;Kazakhstan;Republic of Kazakhstan;Astana
89;Kenya;Republic of Kenya;Nairobi
90;Kiribati;Republic of Kiribati;South Tarawa
91;Kuwait;State of Kuwait;Kuwait City
92;Kyrgyzstan;Kyrgyz Republic;Bishkek
93;Lao People’s Democratic Republic;Lao People's Democratic Republic;Vientiane
94;Latvia;Republic of Latvia;Riga
95;Lebanon;Republic of Lebanon;Beirut
96;Lesotho;Kingdom of Lesotho;Maseru
97;Liberia;Republic of Liberia;Monrovia
98;Libya;State of Libya;Tripoli
99;Liechtenstein;Principality of Liechtenstein;Vaduz
100;Lithuania;Republic of Lithuania;Vilnius
101;Luxembourg;Grand Duchy of Luxembourg;Luxembourg
102;Madagascar;Republic of Madagascar;Antananarivo
103;Malawi;Republic of Malawi;Lilongwe
104;Malaysia;Malaysia;Kuala Lumpur
105;Maldives;Republic of Maldives;Malé
106;Mali;Republic of Mali;Bamako
107;Malta;Republic of Malta;Valletta
108;Marshall Islands;Republic of the Marshall Islands;Delap-Uliga-Djarrit
109;Mauritania;Islamic Republic of Mauritania;Nouakchott
110;Mauritius;Republic of Mauritius;Port Louis
111;Mexico;United Mexican States;Mexico City
112;Micronesia (Federated States of);Federated States of Micronesia;Palikir
113;Monaco;Principality of Monaco;Monaco
114;Mongolia;Mongolia;Ulaanbaatar
115;Montenegro;Montenegro;Podgorica
116;Morocco;Kingdom of Morocco;Rabat
117;Mozambique;Republic of Mozambique;Maputo
118;Myanmar;Republic of the Union of Myanmar;Naypyidaw
119;Namibia;Republic of Namibia;Windhoek
120;Nauru;Republic of Nauru;de jure
121;Nepal;Federal Democratic Republic of Nepal;Kathmandu
122;Netherlands;Netherlands;Amsterdam
123;New Zealand;New Zealand;Wellington
124;Nicaragua;Republic of Nicaragua;Managua
125;Niger;Republic of the Niger;Niamey
126;Nigeria;Federal Republic of Nigeria;Abuja
127;North Macedonia;Republic of North Macedonia;Skopje
128;Norway;Kingdom of Norway;Oslo
129;Oman;Sultanate of Oman;Muscat
130;Pakistan;Islamic Republic of Pakistan;Islamabad
131;Palau;Republic of Palau;Ngerulmud
132;Panama;Republic of Panama;Panama City
133;Papua New Guinea;Independent State of Papua New Guinea;Port Moresby
134;Paraguay;Republic of Paraguay;Asunción
135;Peru;Republic of Peru;Lima
136;Philippines;Republic of the Philippines;Manila
137;Poland;Republic of Poland;Warsaw
138;Portugal;Portuguese Republic;Lisbon
139;Qatar;State of Qatar;Doha
140;Republic of Korea;Republic of Korea;Seoul
141;Republic of Moldova;Republic of Moldova;Chișinău
142;Romania;Romania;Bucharest
143;Russian Federation;Russian Federation;Moscow
144;Rwanda;Republic of Rwanda;Kigali
145;Saint Kitts and Nevis;Federation of Saint Christopher and Nevis;Basseterre
146;Saint Lucia;Saint Lucia;Castries
147;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;Kingstown
148;Samoa;Independent State of Samoa;Apia
149;San Marino;Republic of San Marino;San Marino
150;Sao Tome and Principe;Democratic Republic of São Tomé and Príncipe;São Tomé
151;Saudi Arabia;Kingdom of Saudi Arabia;Riyadh
152;Senegal;Republic of Senegal;Dakar
153;Serbia;Republic of Serbia;Belgrade
154;Seychelles;Republic of Seychelles;Victoria
155;Sierra Leone;Republic of Sierra Leone;Freetown
156;Singapore;Republic of Singapore;Singapore
157;Slovakia;Slovak Republic;Bratislava
158;Slovenia;Republic of Slovenia;Ljubljana
159;Solomon Islands;Solomon Islands;Honiara
160;Somalia;Federal Republic of Somalia;Mogadishu
161;South Africa;Republic of South Africa;Bloemfontein (judicial)
162;South Sudan;Republic of South Sudan;Juba
163;Spain;Kingdom of Spain;Madrid
164;Sri Lanka;Democratic Socialist Republic of Sri Lanka;Colombo (executive and judicial)
165;Sudan;Republic of the Sudan;Khartoum
166;Suriname;Republic of Suriname;Paramaribo
167;Sweden;Kingdom of Sweden;Stockholm
168;Switzerland;Swiss Confederation;Bern (de facto)
169;Syrian Arab Republic;Syrian Arab Republic;Damascus
170;Tajikistan;Republic of Tajikistan;Dushanbe
171;Thailand;Kingdom of Thailand;Bangkok
172;Timor-Leste;Democratic Republic of Timor-Leste;Dili
173;Togo;Togolese Republic;Lomé
174;Tonga;Kingdom of Tonga;Nukuʻalofa
175;Trinidad and Tobago;Republic of Trinidad and Tobago;Port of Spain
176;Tunisia;Republic of Tunisia;Tunis
177;Türkiye;Republic of Türkiye;Ankara
178;Turkmenistan;Turkmenistan;Ashgabat
179;Tuvalu;Tuvalu;Funafuti
180;Uganda;Republic of Uganda;Kampala
181;Ukraine;Ukraine;Kyiv
182;United Arab Emirates;United Arab Emirates;Abu Dhabi
183;United Kingdom of Great Britain and Northern Ireland;Ireland;Dublin
184;United Republic of Tanzania;United Republic of Tanzania;Dodoma
185;United States of America;United States of America;Washington, D.C.
186;Uruguay;Oriental Republic of Uruguay;Montevideo
187;Uzbekistan;Republic of Uzbekistan;Tashkent
188;Vanuatu;Republic of Vanuatu;Port Vila
189;Venezuela, Bolivarian Republic of;Bolivarian Republic of Venezuela;Caracas
190;Viet Nam;Socialist Republic of Vietnam;Hanoi
191;Yemen;Republic of Yemen;Aden
192;Zambia;Republic of Zambia;Lusaka
193;Zimbabwe;Republic of Zimbabwe;Harare
